title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Tizona d'El Cid	Bits	Bits	5000	9500	5000	24.5025	0									FALSE	5	NP	F	0	-	495		TRUE	9	EX	AA	1612	9	1000		TRUE	10	EX	A	1815	8	1178	2.45025000E+001									FALSE	5	NP	F	0	-	491		TRUE	10	NP	F	0	-	1000																		
EMPTY OF THE SKY	Bits	Bits	3000	5000	8000	22.89	0									FALSE	3	NP	F	0	-	334		FALSE	5	NP	F	0	-	526		TRUE	8	FC	AAA	1526	1	843	2.28900000E+001									FALSE	3	NP	F	0	-	334		FALSE	5	NP	F	0	-	526		TRUE	8	NP	F	0	-	842										
tant pis pour toi	Bits	Bits	4500	8500	5000	19.749	0									FALSE	5	NP	F	0	-	385		TRUE	8	FC	AA	1164	0	676		TRUE	10	FC	AA	1362	2	862	1.97490000E+001									FALSE	4	NP	F	0	-	385		TRUE	9	NP	F	0	-	676																		
100% minimoo-G	Bits	Bits	4500	10000	11000	17.091	0									FALSE	5	NP	F	0	-	474		TRUE	10	EX	A	1266	5	871	1.70910000E+001	TRUE	11	NC	A	1241	49	903										FALSE	4	NP	F	0	-	474		TRUE	10	NP	F	0	-	871		TRUE	11	NP	F	0	-	1414										
PLASMA	Bits	Bits	4500	8000	4500	26.68	0									FALSE	4	NP	F	0	-	479		TRUE	8	FC	AA	1424	1	848		TRUE	9	FC	AA	1840	1	1145	2.66800000E+001									FALSE	5	NP	F	0	-	479		TRUE	8	NP	F	0	-	848																		
in motion	Bits	Bits	5000	6000	7500	15.08	0									FALSE	5	NP	F	0	-	432		FALSE	6	NP	F	0	-	545		TRUE	7	FC	AA	1040	0	661	1.50800000E+001									FALSE	5	NP	F	0	-	432		FALSE	6	NP	F	0	-	545		TRUE	8	NP	F	0	-	661										
SigSig	Base	Base	0	0	0	27.459	0	TRUE	3	NP	F	0	-	338		TRUE	5	NP	F	0	-	548		TRUE	7	NP	F	0	-	864		TRUE	10	EX	A	2034	20	1309	2.74590000E+001									TRUE	5	NP	F	0	-	552		TRUE	7	NP	F	0	-	884		TRUE	11	NP	F	0	-	1259										
ラクエン	Bits	Bits	4000	7500	11000	18.473	0									FALSE	4	NP	F	0	-	369		FALSE	6	NP	F	0	-	498		TRUE	11	HC	A	1421	47	1034	1.84730000E+001									FALSE	4	NP	F	0	-	368		FALSE	9	NP	F	0	-	723		TRUE	11	NP	F	0	-	1033										
Get'em up to R.A.V.E	Bits	Bits	5000	8000	5000	23.7735	0									FALSE	5	NP	F	0	-	599		TRUE	8	FC	AA	1485	1	892		TRUE	10	EX	A	1761	10	1158	2.37735000E+001									FALSE	5	NP	F	0	-	595		TRUE	8	NP	F	0	-	890																		
alla turca con passione	Bits	Bits	4500	8000	10000	21.983	0									FALSE	5	NP	F	0	-	409		TRUE	8	EX	AA	1388	2	829		TRUE	10	HC	A	1691	14	1103	2.19830000E+001									FALSE	4	NP	F	0	-	396		TRUE	8	NP	F	0	-	831		TRUE	10	NP	F	0	-	1057										
GREEN EYES	Bits	Bits	6000	8500	10500	23.1525	0									FALSE	6	NP	F	0	-	507		TRUE	8	FC	AA	1306	2	827		TRUE	10	EX	A	1715	14	1123	2.31525000E+001									FALSE	6	NP	F	0	-	494		TRUE	9	NP	F	0	-	828		TRUE	11	NP	F	0	-	1123										
SCREAM SQUAD	Bits	Bits	6500	10000	12000	19.306	0									FALSE	7	NP	F	0	-	609		TRUE	10	EX	AA	1379	8	869	1.93060000E+001	TRUE	12	NP	F	0	-	1073										FALSE	6	NP	F	0	-	579		TRUE	10	NP	F	0	-	863		TRUE	12	NP	F	0	-	1072										
PATRIOTISM	Bits	Bits	3500	7000	4500	21.084	0									FALSE	4	NP	F	0	-	390		FALSE	7	NP	F	0	-	679		TRUE	9	EX	AA	1506	9	929	2.10840000E+001									FALSE	3	NP	F	0	-	386		FALSE	7	NP	F	0	-	679																		
Aurora	Bits	Bits	7000	10000	11000	25.029	0									FALSE	7	NP	F	0	-	714		TRUE	10	EX	A	1621	17	1100		TRUE	11	EX	A	1854	16	1280	2.50290000E+001									FALSE	7	NP	F	0	-	675		TRUE	10	NP	F	0	-	1043		TRUE	11	NP	F	0	-	1218										
Votum stellarum	Bits	Bits	4000	10000	5000	21.4455	0									FALSE	4	NP	F	0	-	413		TRUE	9	FC	AA	1479	2	857	2.14455000E+001	TRUE	10	EX	A	1557	8	1017										FALSE	4	NP	F	0	-	413		TRUE	11	NP	F	0	-	965																		
Scripted Connection⇒ N mix	Bits	Bits	6000	8500	10000	21.708	0									FALSE	6	NP	F	0	-	674		TRUE	8	FC	AA	1342	3	858		TRUE	10	EX	A	1608	12	1073	2.17080000E+001									FALSE	6	NP	F	0	-	661		TRUE	9	NP	F	0	-	909		TRUE	10	NP	F	0	-	1179										
Scripted Connection⇒ H mix	Bits	Bits	7500	10000	11000	23.504	0									FALSE	7	NP	F	0	-	875		TRUE	10	EX	A	1503	11	1059		TRUE	11	HC	A	1808	38	1275	2.35040000E+001									FALSE	8	NP	F	0	-	879		TRUE	10	NP	F	0	-	1005		TRUE	11	NP	F	0	-	1366										
Scripted Connection⇒ A mix	Bits	Bits	7500	10000	11500	23.382	0									FALSE	7	NP	F	0	-	865		TRUE	10	EX	A	1732	11	1155	2.33820000E+001	TRUE	12	EC	B	1894	86	1575		TRUE	12	NP	F	0	-	1749		FALSE	8	NP	F	0	-	1079		TRUE	10	NP	F	0	-	1269		TRUE	11	NP	F	0	-	1382		TRUE	12	NP	F	0	-	1816		
華蝶風雪	Bits	Bits	6500	10000	11500	28.38	0									FALSE	6	NP	F	0	-	638		TRUE	10	EX	AA	1814	7	1064		TRUE	11	HC	A	2102	44	1500		TRUE	12	NC	B	2580	89	2014	2.83800000E+001	FALSE	7	NP	F	0	-	626		TRUE	10	NP	F	0	-	1041		TRUE	12	NP	F	0	-	1481		TRUE	12	NP	F	0	-	2135		
タシカナモノ	Base	Base	0	0	0	25.404	0									TRUE	5	NP	F	0	-	472		TRUE	7	NP	F	0	-	726		TRUE	9	FC	AA	1752	3	1026	2.54040000E+001									TRUE	5	NP	F	0	-	470		TRUE	7	NP	F	0	-	797		TRUE	10	NP	F	0	-	1191										
The Dirty of Loudness	Bits	Bits	7000	10000	10500	23.4765	0									FALSE	7	NP	F	0	-	740		TRUE	10	EX	A	1739	12	1154	2.34765000E+001	TRUE	11	HC	A	1804	54	1327										FALSE	7	NP	F	0	-	723		TRUE	10	NP	F	0	-	1122		TRUE	10	NP	F	0	-	1189										
D.C.fish	Bits	Bits	5000	8500	11000	24.6645	0									FALSE	5	NP	F	0	-	513		TRUE	9	FC	AA	1655	2	998		TRUE	11	EX	A	1827	19	1178	2.46645000E+001									FALSE	5	NP	F	0	-	505		TRUE	8	NP	F	0	-	888		TRUE	11	NP	F	0	-	1228										
嘆きの樹	Bits	Bits	7500	11000	12000	24.141	0									TRUE	8	FC	AA	1550	1	902		TRUE	11	HC	A	1857	33	1281	2.41410000E+001	TRUE	12	NP	F	0	-	2000										TRUE	7	NP	F	0	-	875		TRUE	11	NP	F	0	-	1281		TRUE	12	NP	F	0	-	2000										
Melody Life	Bits	Bits	4000	6000	4500	23.4755	0									FALSE	4	NP	F	0	-	397		FALSE	6	NP	F	0	-	673		TRUE	9	FC	AA	1619	1	933	2.34755000E+001									FALSE	4	NP	F	0	-	399		FALSE	6	NP	F	0	-	643																		
wish	Bits	Bits	4000	6000	7500	18.85	0									FALSE	4	NP	F	0	-	401		FALSE	6	NP	F	0	-	600		TRUE	7	FC	AA	1300	0	758	1.88500000E+001									FALSE	4	NP	F	0	-	400		FALSE	6	NP	F	0	-	601		TRUE	8	NP	F	0	-	784										
Bloody Tears(IIDX EDITION)	Bits	Bits	5000	9500	10500	26.32	0									FALSE	5	NP	F	0	-	574		TRUE	9	FC	AA	1740	1	1012		TRUE	10	EX	AA	1880	8	1094	2.63200000E+001									FALSE	5	NP	F	0	-	574		TRUE	10	NP	F	0	-	1009		TRUE	11	NP	F	0	-	1280										
CONTRACT	Sub	TRI3	0	0	0	20.0205	0									TRUE	9	EX	AA	1122	3	648		TRUE	10	EX	A	1311	13	863		TRUE	11	EX	A	1483	10	1056	2.00205000E+001	TRUE	12	F	C	1448	166	1418		TRUE	7	NP	F	0	-	607		TRUE	10	NP	F	0	-	856		TRUE	12	NP	F	0	-	1050		TRUE	12	NP	F	0	-	1545		
INFERNO	Bits	Bits	5000	7000	9500	23.838	0									FALSE	5	NP	F	0	-	601		FALSE	7	NP	F	0	-	828		TRUE	9	FC	AA	1644	3	1008	2.38380000E+001									FALSE	5	NP	F	0	-	600		FALSE	7	NP	F	0	-	856		TRUE	10	NP	F	0	-	1175										
DEEP ROAR	Bits	Bits	4500	7000	9000	22.876	0									FALSE	4	NP	F	0	-	503		FALSE	7	NP	F	0	-	726		TRUE	9	EX	AA	1634	8	976	2.28760000E+001									FALSE	5	NP	F	0	-	503		FALSE	7	NP	F	0	-	721		TRUE	9	NP	F	0	-	969										
Leaving...	Bits	Bits	4000	7500	10000	21.346	0									FALSE	4	NP	F	0	-	396		TRUE	8	EX	AA	1148	12	714		TRUE	10	HC	A	1642	39	1116	2.13460000E+001									FALSE	4	NP	F	0	-	386		TRUE	7	NP	F	0	-	714		TRUE	10	NP	F	0	-	1024										
ALFARSHEAR 双神威に廻る夢	Bits	Bits	5500	8000	10000	23.422	0	TRUE	2	NP	F	0	-	222		FALSE	5	NP	F	0	-	548		FALSE	7	NP	F	0	-	838		TRUE	10	EX	AA	1673	15	1049	2.34220000E+001									FALSE	6	NP	F	0	-	548		FALSE	9	NP	F	0	-	838		TRUE	10	NP	F	0	-	1043										
Why did you go away	Bits	Bits	5000	8500	10500	27.8255	0	TRUE	3	NP	F	0	-	322		FALSE	5	NP	F	0	-	559		TRUE	8	FC	AA	1551	2	904		TRUE	10	FC	AA	1919	6	1166	2.78255000E+001									FALSE	5	NP	F	0	-	552		TRUE	9	NP	F	0	-	901		TRUE	11	NP	F	0	-	1165										
Apocalypse ～dirge of swans～	Base	Base	0	0	0	24.4215	0	TRUE	1	NP	F	0	-	121		TRUE	5	NP	F	0	-	510		TRUE	9	EX	AA	1489	6	921		TRUE	10	EX	A	1809	16	1214	2.44215000E+001									TRUE	5	NP	F	0	-	480		TRUE	8	NP	F	0	-	981		TRUE	11	NP	F	0	-	1270										
iFUTURELIST	Bits	Bits	4000	6000	4000	20.8365	0									FALSE	4	NP	F	0	-	354		FALSE	6	NP	F	0	-	585		TRUE	8	FC	AA	1437	1	854	2.08365000E+001									FALSE	4	NP	F	0	-	352		FALSE	6	NP	F	0	-	573																		
Heavenly Sun (IIDX VERSION)	Base	Base	0	0	0	29.025	0									TRUE	4	NP	F	0	-	421		TRUE	7	NP	F	0	-	806		TRUE	10	FC	AA	1776	1	1060		TRUE	11	EX	A	2150	12	1550	2.90250000E+001	TRUE	4	NP	F	0	-	421		TRUE	8	NP	F	0	-	805		TRUE	10	NP	F	0	-	1060		TRUE	11	NP	F	0	-	1504		
with you…	Bits	Bits	4000	6500	10000	22.098	0									FALSE	4	NP	F	0	-	398		FALSE	6	NP	F	0	-	580		TRUE	9	FC	AA	1524	0	891	2.20980000E+001									FALSE	4	NP	F	0	-	398		FALSE	7	NP	F	0	-	580		TRUE	11	NP	F	0	-	1324										
Winning Eleven9 Theme(IIDX EDITION)	Bits	Bits	4000	7000	4500	20.986	0									FALSE	4	NP	F	0	-	420		FALSE	7	NP	F	0	-	730		TRUE	9	EX	AA	1499	2	868	2.09860000E+001									FALSE	4	NP	F	0	-	420		FALSE	7	NP	F	0	-	730																		
bluemoon	Bits	Bits	4500	8500	10500	24.435	0									FALSE	4	NP	F	0	-	292		FALSE	7	NP	F	0	-	867		TRUE	10	EX	A	1810	9	1174	2.44350000E+001									FALSE	5	NP	F	0	-	473		FALSE	10	NP	F	0	-	961		TRUE	11	NP	F	0	-	1207										
This is Love	Bits	Bits	4500	8000	5000	27.342	0									FALSE	4	NP	F	0	-	473		TRUE	8	FC	AA	1613	2	910		TRUE	10	EX	AA	1953	14	1249	2.73420000E+001									FALSE	5	NP	F	0	-	489		TRUE	8	NP	F	0	-	906																		
Ganymede	Bits	Bits	7000	10500	11500	22.594	0									FALSE	6	NP	F	0	-	571		TRUE	10	FC	AA	1394	4	884		TRUE	11	HC	A	1738	32	1199	2.25940000E+001	TRUE	12	NP	F	0	-	1356		FALSE	8	NP	F	0	-	612		TRUE	11	NP	F	0	-	951		TRUE	12	NP	F	0	-	1363		TRUE	12	NP	F	0	-	1391		
Ubiquitous Fantastic Ride	Bits	Bits	3500	7500	8500	19.348	0									FALSE	4	NP	F	0	-	325		FALSE	7	NP	F	0	-	628		TRUE	8	EX	AA	1382	8	835	1.93480000E+001									FALSE	3	NP	F	0	-	337		FALSE	8	NP	F	0	-	615		TRUE	9	NP	F	0	-	792										
BALLAD THE FEATHERS	Bits	Bits	4500	7000	4000	18.8355	0									FALSE	4	NP	F	0	-	367		FALSE	6	NP	F	0	-	554		TRUE	8	FC	AA	1299	0	764	1.88355000E+001									FALSE	5	NP	F	0	-	357		FALSE	8	NP	F	0	-	560																		
Sun Field	Bits	Bits	4000	8500	11000	24.5295	0									FALSE	3	NP	F	0	-	287		TRUE	8	FC	AA	1322	2	777		TRUE	11	EX	A	1817	10	1234	2.45295000E+001									FALSE	5	NP	F	0	-	449		TRUE	9	NP	F	0	-	856		TRUE	11	NP	F	0	-	1158										
tripping contact	Bits	Bits	6500	9500	6000	24.869	0									FALSE	6	NP	F	0	-	686		TRUE	9	EX	AA	1580	9	989		TRUE	12	HC	A	1913	30	1360	2.48690000E+001									FALSE	7	NP	F	0	-	725		TRUE	10	NP	F	0	-	1081																		
Power of Love	Bits	Bits	4500	7500	10000	26.187	0									FALSE	5	NP	F	0	-	513		FALSE	7	NP	F	0	-	848		TRUE	10	FC	AA	1806	1	1077	2.61870000E+001									FALSE	4	NP	F	0	-	512		FALSE	8	NP	F	0	-	861		TRUE	10	NP	F	0	-	1065										
ay carumba!!!!	Bits	Bits	6000	9000	5000	19.8045	0									FALSE	6	NP	F	0	-	520		TRUE	9	EX	AA	1277	9	805		TRUE	10	EX	A	1467	15	975	1.98045000E+001									FALSE	6	NP	F	0	-	520		TRUE	9	NP	F	0	-	820																		
So Fabulous !!	Base	Base	0	0	0	23.374	0									TRUE	5	NP	F	0	-	556		TRUE	8	FC	AA	1348	0	784		TRUE	10	HC	A	1798	35	1191	2.33740000E+001									TRUE	5	NP	F	0	-	548		TRUE	9	NP	F	0	-	853		TRUE	11	NP	F	0	-	1214										
waxing and wanding	Base	Base	0	0	0	28.093	0									TRUE	7	NP	F	0	-	658		TRUE	10	EX	AA	1757	8	997		TRUE	11	HC	A	2161	35	1457	2.80930000E+001	TRUE	12	NP	F	0	-	2000		TRUE	7	NP	F	0	-	647		TRUE	10	NP	F	0	-	966		TRUE	11	NP	F	0	-	1399		TRUE	12	NP	F	0	-	2000		
Harmony and Lovely	Bits	Bits	4500	8500	11000	22.9535	0									FALSE	4	NP	F	0	-	457		TRUE	8	FC	AA	1583	2	902	2.29535000E+001	TRUE	11	HC	A	1658	21	1127										FALSE	5	NP	F	0	-	457		TRUE	9	NP	F	0	-	896		TRUE	11	NP	F	0	-	1122										
MINT	Bits	Bits	5500	10000	11500	20.241	0									FALSE	6	NP	F	0	-	524		TRUE	10	EX	A	1402	10	917		TRUE	11	HC	A	1557	38	1158	2.02410000E+001									FALSE	5	NP	F	0	-	517		TRUE	10	NP	F	0	-	906		TRUE	12	NP	F	0	-	1163										
EURO-ROMANCE	Bits	Bits	5000	8000	10500	24.738	0									FALSE	5	NP	F	0	-	497		TRUE	8	FC	AA	1504	2	933		TRUE	10	EX	AA	1767	7	1056	2.47380000E+001									FALSE	5	NP	F	0	-	494		TRUE	8	NP	F	0	-	893		TRUE	11	NP	F	0	-	1363										
TYPE MARS(G-Style Mix)	Bits	Bits	5500	9500	5500	22.048	0									FALSE	5	NP	F	0	-	571		TRUE	9	HC	A	1483	25	974		TRUE	11	HC	A	1696	47	1237	2.20480000E+001									FALSE	6	NP	F	0	-	576		TRUE	10	NP	F	0	-	990																		
Double♡♡Loving Heart	Bits	Bits	3500	6500	9500	22.939	0									FALSE	3	NP	F	0	-	292		FALSE	6	NP	F	0	-	671		TRUE	9	FC	AA	1582	2	909	2.29390000E+001									FALSE	4	NP	F	0	-	393		FALSE	7	NP	F	0	-	730		TRUE	10	NP	F	0	-	1127										
Zenius -I- vanisher	Bits	Bits	5000	7500	10500	25.245	0									FALSE	5	NP	F	0	-	493		FALSE	7	NP	F	0	-	790		TRUE	10	EX	A	1870	11	1209	2.52450000E+001									FALSE	5	NP	F	0	-	492		FALSE	8	NP	F	0	-	776		TRUE	11	NP	F	0	-	1207										
Parasite World	Sub	RT3	0	0	0	24.624	0									TRUE	6	NP	F	0	-	686		TRUE	9	FC	AA	1622	1	966		TRUE	10	EX	A	1824	10	1194	2.46240000E+001									TRUE	7	NP	F	0	-	703		TRUE	10	NP	F	0	-	985		TRUE	11	NP	F	0	-	1195										
WISH(EUROBEAT MIX)	Bits	Bits	5000	8000	9000	23.5625	0									FALSE	5	NP	F	0	-	532		TRUE	8	FC	AA	1404	1	824		TRUE	9	FC	AA	1625	4	990	2.35625000E+001									FALSE	5	NP	F	0	-	532		TRUE	8	NP	F	0	-	793		TRUE	9	NP	F	0	-	988										
tripping contact(teranoid&MC Natsack Remix)	Bits	Bits	6500	10000	11500	24.102	0									FALSE	6	NP	F	0	-	646		TRUE	10	EX	A	1568	12	1020		TRUE	11	HC	A	1854	37	1258	2.41020000E+001									FALSE	7	NP	F	0	-	653		TRUE	10	NP	F	0	-	968		TRUE	12	NP	F	0	-	1367										
MOON	Bits	Bits	5000	9500	5000	26.7815	0									FALSE	5	NP	F	0	-	436		TRUE	9	FC	AA	1825	2	1067		TRUE	10	FC	AA	1847	3	1118	2.67815000E+001									FALSE	5	NP	F	0	-	436		TRUE	10	NP	F	0	-	1048																		
虹色	Bits	Bits	5000	7500	8500	22.6055	0									FALSE	5	NP	F	0	-	488		TRUE	8	FC	AA	1383	0	792		TRUE	9	FC	AA	1559	3	934	2.26055000E+001									FALSE	5	NP	F	0	-	488		TRUE	7	NP	F	0	-	793		TRUE	8	NP	F	0	-	934										
Concertino in Blue	Bits	Bits	5000	10000	12000	20.724	0	TRUE	2	NP	F	0	-	198		FALSE	5	NP	F	0	-	460		TRUE	10	EX	A	1380	16	915		TRUE	12	HC	B	1727	43	1311	2.07240000E+001									FALSE	5	NP	F	0	-	486		TRUE	10	NP	F	0	-	972		TRUE	12	NP	F	0	-	1425										
カゴノトリ～弐式～	Sub	RT3	0	0	0	23.478	0									TRUE	6	NP	F	0	-	581		TRUE	9	EX	AA	1568	4	944		TRUE	12	HC	A	1806	32	1325	2.34780000E+001									TRUE	6	NP	F	0	-	581		TRUE	9	NP	F	0	-	978		TRUE	12	NP	F	0	-	1586										
リグレット	Bits	Bits	6000	8000	5000	29.493	0									FALSE	6	NP	F	0	-	666		TRUE	8	FC	AA	1521	2	887		TRUE	10	FC	AA	2034	3	1223	2.94930000E+001									FALSE	6	NP	F	0	-	661		TRUE	8	NP	F	0	-	888																		
INORI	Bits	Bits	6000	9500	11500	29.386	0									FALSE	6	NP	F	0	-	701		TRUE	10	EX	AA	2099	6	1330	2.93860000E+001	TRUE	11	EX	B	2043	19	1614										FALSE	6	NP	F	0	-	699		TRUE	9	NP	F	0	-	1241		TRUE	12	NP	F	0	-	1730										
Love Again...	Bits	Bits	3500	4500	2500	0	0									FALSE	3	NP	F	0	-	293		FALSE	4	NP	F	0	-	400		FALSE	5	NP	F	0	-	538										FALSE	4	NP	F	0	-	396		FALSE	5	NP	F	0	-	533																		
TRANOID	Bits	Bits	5500	10000	11500	20.904	0									FALSE	5	NP	F	0	-	414		TRUE	10	EX	AA	1472	9	929		TRUE	11	HC	A	1608	28	1141	2.09040000E+001	TRUE	12	NP	F	0	-	1546		FALSE	6	NP	F	0	-	449		TRUE	10	NP	F	0	-	947		TRUE	12	NP	F	0	-	1141		TRUE	12	NP	F	0	-	1563		
Candy Galy	Sub	TRI3	0	0	0	26.811	0									TRUE	7	NP	F	0	-	800		TRUE	10	EX	A	1986	17	1308	2.68110000E+001	TRUE	12	EC	B	2348	88	1798										TRUE	6	NP	F	0	-	642		TRUE	8	NP	F	0	-	863		TRUE	12	NP	F	0	-	1348										
never…	Bits	Bits	4000	6500	4000	22.359	0									FALSE	4	NP	F	0	-	414		FALSE	7	NP	F	0	-	691		TRUE	8	FC	AA	1542	3	915	2.23590000E+001									FALSE	4	NP	F	0	-	413		FALSE	6	NP	F	0	-	690																		
GOLD RUSH	Base	Base	0	0	0	23.868	0	TRUE	3	NP	F	0	-	282		TRUE	7	NP	F	0	-	608		TRUE	9	EX	A	1175	7	764		TRUE	11	EX	A	1768	14	1199	2.38680000E+001									TRUE	6	NP	F	0	-	601		TRUE	8	NP	F	0	-	851		TRUE	10	NP	F	0	-	1186										
CaptivAte～誓い～	Bits	Bits	6000	9000	10500	28.159	0									FALSE	6	NP	F	0	-	677		TRUE	9	EX	AA	1744	6	1017		TRUE	10	FC	AA	1942	4	1127	2.81590000E+001									FALSE	6	NP	F	0	-	710		TRUE	9	NP	F	0	-	1078		TRUE	11	NP	F	0	-	1319										
VANESSA	Bits	Bits	7500	11000	12000	18.6	0									TRUE	8	FC	AA	958	1	591		TRUE	11	EX	A	1362	11	938		TRUE	12	HC	B	1550	43	1228	1.86000000E+001	TRUE	12	F	D	1360	326	1771		TRUE	7	NP	F	0	-	588		TRUE	11	NP	F	0	-	938		TRUE	12	NP	F	0	-	1297		TRUE	12	NP	F	0	-	1633		
星をこの手に	Bits	Bits	6500	9000	10000	23.0175	0									FALSE	7	NP	F	0	-	614		TRUE	9	FC	AA	1460	1	933		TRUE	10	EX	A	1705	12	1099	2.30175000E+001									FALSE	6	NP	F	0	-	609		TRUE	9	NP	F	0	-	962		TRUE	10	NP	F	0	-	1267										
零 - ZERO -	Bits	Bits	6000	8000	9500	30.898	0	TRUE	1	NP	F	0	-	110		FALSE	6	NP	F	0	-	596		TRUE	8	FC	AA	1545	2	912		TRUE	9	EX	AA	1972	4	1162		TRUE	10	EX	AA	2207	11	1380	3.08980000E+001	FALSE	6	NP	F	0	-	601		TRUE	8	NP	F	0	-	909		TRUE	10	NP	F	0	-	1154		TRUE	11	NP	F	0	-	1421		
STARS☆☆☆(Re-tuned by HΛL) - IIDX EDITION -	Bits	Bits	5000	7500	4500	25.984	0									FALSE	5	NP	F	0	-	554		TRUE	8	FC	AA	1496	3	874		TRUE	9	FC	AA	1792	4	1081	2.59840000E+001									FALSE	5	NP	F	0	-	554		TRUE	7	NP	F	0	-	875																		
Blind Justice ～Torn souls, Hurt Faiths ～	Sub	RT3	0	0	0	26.136	0									TRUE	6	NP	F	0	-	679		TRUE	8	EX	AA	1731	8	1001		TRUE	11	EX	A	1936	8	1245	2.61360000E+001									TRUE	7	NP	F	0	-	618		TRUE	8	NP	F	0	-	950		TRUE	10	NP	F	0	-	1134										
Air Bell	Bits	Bits	5000	6500	8000	21.2135	0									FALSE	5	NP	F	0	-	499		FALSE	6	NP	F	0	-	687		TRUE	8	FC	AA	1463	2	868	2.12135000E+001									FALSE	5	NP	F	0	-	455		FALSE	7	NP	F	0	-	642		TRUE	8	NP	F	0	-	794										
ヨシダさん	Bits	Bits	5000	6500	8500	24.08	0									FALSE	5	NP	F	0	-	470		FALSE	7	NP	F	0	-	728		TRUE	9	EX	AA	1720	6	987	2.40800000E+001									FALSE	5	NP	F	0	-	523		FALSE	6	NP	F	0	-	739		TRUE	8	NP	F	0	-	1003										
Play back hate you	Bits	Bits	5000	8000	9500	25.732	0									FALSE	4	NP	F	0	-	408		TRUE	8	FC	AA	1480	0	876		TRUE	9	EX	AA	1838	7	1115	2.57320000E+001									FALSE	6	NP	F	0	-	406		TRUE	8	NP	F	0	-	881		TRUE	10	NP	F	0	-	1117										
ANDROMEDA II	Bits	Bits	5000	9500	5000	25.9875	0									FALSE	5	NP	F	0	-	501		TRUE	9	EX	AA	1580	9	982		TRUE	10	EX	A	1925	10	1255	2.59875000E+001									FALSE	5	NP	F	0	-	534		TRUE	10	NP	F	0	-	1084																		
Cyber Force	Bits	Bits	5500	8500	9000	26.488	0									FALSE	5	NP	F	0	-	637		TRUE	9	EX	AA	1631	3	980		TRUE	10	EX	AA	1892	16	1200	2.64880000E+001									FALSE	6	NP	F	0	-	610		TRUE	8	NP	F	0	-	929		TRUE	8	NP	F	0	-	1081										
smile	Base	Base	0	0	0	27.989	0									TRUE	7	NP	F	0	-	744		TRUE	9	EX	AA	1806	4	1107		TRUE	11	HC	A	2153	39	1464	2.79890000E+001									TRUE	7	NP	F	0	-	766		TRUE	9	NP	F	0	-	1145		TRUE	12	NP	F	0	-	1628										
LASER CRUSTER	Bits	Bits	7000	11000	12000	28.964	0									FALSE	7	NP	F	0	-	732		TRUE	11	EX	A	1833	3	1250		TRUE	12	HC	A	2228	49	1644	2.89640000E+001									FALSE	7	NP	F	0	-	696		TRUE	11	NP	F	0	-	1254		TRUE	12	NP	F	0	-	1721										
GRID KNIGHT	Bits	Bits	6500	8000	10000	27.6885	0									FALSE	6	NP	F	0	-	423		TRUE	8	FC	AA	1690	3	1012		TRUE	10	EX	A	2051	8	1328	2.76885000E+001	TRUE	12	NP	F	0	-	1744		FALSE	7	NP	F	0	-	813		TRUE	8	NP	F	0	-	1056		TRUE	10	NP	F	0	-	1396		TRUE	12	NP	F	0	-	1855		
CROSSROAD ～Left Story～	Bits	Bits	5500	8000	10000	30.615	0									FALSE	5	NP	F	0	-	574		TRUE	8	FC	AAA	1570	0	883		TRUE	10	FC	AAA	2041	0	1097	3.06150000E+001									FALSE	6	NP	F	0	-	575		TRUE	8	NP	F	0	-	857		TRUE	10	NP	F	0	-	1047										
HALF MOON	Bits	Bits	4000	7500	5000	19.521	0									FALSE	4	NP	F	0	-	387		TRUE	8	FC	AA	1174	0	742		TRUE	10	EX	A	1446	10	953	1.95210000E+001									FALSE	4	NP	F	0	-	387		TRUE	7	NP	F	0	-	742																		
鬼言集	Bits	Bits	6000	7500	10000	22.638	0									FALSE	6	NP	F	0	-	599		TRUE	8	FC	AA	1285	3	792		TRUE	10	EX	AA	1617	18	1037	2.26380000E+001									FALSE	6	NP	F	0	-	584		TRUE	7	NP	F	0	-	748		TRUE	10	NP	F	0	-	996										
